hid,title,type,rating,origination,read,last_read,synonyms,mal,anilist,mangaupdates
QIG48296,Surviving the Game as a Barbarian,Reading,0,Manhwa,152,2026-04-30,"Surviving as a Barbarian in the Game,게임 속 바바리안으로 살아남기,Survivre dans le jeu en incarnant un Barbare,Sobrevivendo ao Jogo como um Bárbaro,Game sok Barbarian euro Saranamgi,เอาชีวิตรอดในเกมฉบับคนเถื่อน,Surviving the Game as a Barbarian,転生したらバーバリアンになった,Tensei Shitara Bābarian ni Natta,變成蠻族！遊戲生存戰,化身野蛮人在异界生存,Geim Sok Babarianeuro Saranamgi,Sobreviviendo al juego siendo un bárbaro",https://myanimelist.net/manga/158296,https://anilist.co/manga/164857,https://www.mangaupdates.com/series/ly5au35
iE0hmbYC,The Stellar Swordmaster,Reading,0,Manhwa,125,2026-06-11,"Le chevalier aux armoiries d'étoiles,별을 품은 소드마스터,星剣のソードマスター,星剑大师,星耀劍士,ยอดนักดาบผู้โอบอุ้มดารา,El maestro de la espada cogedor de estrellas,El maestro de la espada acogedor de estrellas,The Stellar Swordmaster,Star-Embracing Swordmaster,Byeol eul Pumeun Swordmaster",https://myanimelist.net/manga/163116,https://anilist.co/manga/170400,https://www.mangaupdates.com/series/cnro3u3
sWZd4eEc,Surviving as a Genius on Borrowed Time,Reading,0,Manhwa,75.5,2026-03-05,"시한부 천재가 살아남는 법,武術の天才が生き残る術,短命天才生存法,Sobreviviendo como un genio con tiempo prestado,Surviving as a Genius on Borrowed Time,Sihanbu Cheonjae ga Saranamneun Beop,Chronicles of a Doomed Prodigy",https://myanimelist.net/manga/174692,https://anilist.co/manga/183376,https://www.mangaupdates.com/series/y993vgb
sucqn3YS,Destined to Be Loved by the Villains,Reading,0,Manhwa,55,2026-02-16,"악당에게 사랑받는 운명입니다,Định Mệnh Được Ác Nhân Yêu Thích,Số Phận An Bài Cho Các Nữ Phản Diện Yêu Tôi,Destinado a ser amado pelas Vilãs,Destinado a ser amado por las Villanas,Destined to Be Loved by the Villain,Destined to Be Loved by Villainesses,モブだけど悪党美女キャラにモテまくる,命中註定被反派愛上,É seu destino ser amado pelos vilões,Destinado a ser amado por villanas,Моя судьба — быть любимым злодейками,Fated to Be Loved by Villains",https://myanimelist.net/manga/179469,https://anilist.co/manga/187140,https://www.mangaupdates.com/series/tcw9mme
Hz282n4g,Tale of Old Snake Cultivation,Reading,0,Manhua,90,2026-06-12,"Snake Immortal: The Tale of a Snake's Cultivation to Immortality,A Ascensão da Cobra Imortal,Lao She Xiu Xian Chuan,Lǎo Shé Xiū Xiān Chuán,老蛇修仙传,Tale of the Old Snake's Immortal Cultivation,Serpent Ancestor,Snake Ancestor,The Immortal Art of Becoming A Dragon,The Legend of the Black Snake,老蛇修仙传（蛇祖）,黒蛇の修仙伝説",,https://anilist.co/manga/181712,https://www.mangaupdates.com/series/p7n0sny
6pDgbLPo,The Last Adventurer,Reading,0,Manhwa,104,2026-02-09,"최후의 모험가,Последний искатель приключений,메이플스토리: 최후의 모험가,Останній Авантюрист,El último aventurero,The Last Adventurer,Maplestory: The Last Adventurer,Le Dernier Aventurier,最後の冒険者,Choehu ui Moheomga",https://myanimelist.net/manga/168907,https://anilist.co/manga/177982,https://www.mangaupdates.com/series/v35q2lk
PKUYjwxw,Your Talent is Mine,Reading,0,Manhua,106,2025-11-04,"Wo Neng Fu Zhi Tian Fu,I Can Copy Talents,I Copy Talents,我能复制天赋,Talent Copycat,Ability Copy,Le collectionneur de talents,Thiên Tài Sao Chép,Wo Neng Fuzhi Tianfu,موهبتك ملك لي,능력먹는 플레이어,Tu talento es mio,Seu Talento é Meu!,ناسخ المواهب,アビリティ・コピー",,https://anilist.co/manga/138366,https://www.mangaupdates.com/series/rom41cw
j0AWlMg7,Legend of the Reincarnated Demon God,Reading,0,Manhwa,58,2025-10-18,"Chronicles of the Reincarnated Demon God,転生魔神伝〜逆境を超えし覇王〜,La leyenda del dios demonio reencarnado,환생마신전,Legend of the Reincarnated Demon God",https://myanimelist.net/manga/177080,https://anilist.co/manga/185817,https://www.mangaupdates.com/series/dvpb8s3
a9cBQ2ob,Nebula's Civilization,Reading,0,Manhwa,133,2026-06-11,"The Nebula's Civilization,Le sage destin de la civilisation,La vie de la civilisation sage,슬기로운 문명생활,ნებულას ცივილიზაცია,A Civilização da Nebulosa,Seulgiroun Munmyeongsaenghwal,Цивилизация мудрецов,为智慧文明生活而来",https://myanimelist.net/manga/165175,https://anilist.co/manga/174515,https://www.mangaupdates.com/series/ep7zp35
uCMLgGTJ,Ikitsuku Saki wa Yuusha ka Maou ka - Moto Hai Player ga Iku Isekai Kouryakuki,Reading,0,Manga,22,2026-05-01,"行き着く先は勇者か魔王か　元・廃プレイヤーが征く異世界攻略記,Is the Destination a Hero or a Demon King?",https://myanimelist.net/manga/155049,https://anilist.co/manga/166762,https://www.mangaupdates.com/series/ruprr5z
gUH73lhO,Shadow of the Supreme,Reading,0,Manhwa,104,2026-05-02,"천하제일인의 소꿉친구,The best childhood friend in the world,Childhood Friend of the Zenith,Друг детства сильнейшего воина,Лучший друг детства на свете,Друг дитинства найсильнішого воїна,Найкращий друг дитинства у світі,Przyjaciel z dzieciństwa najsilniejszego wojownika,Najlepszy przyjaciel z dzieciństwa na świecie,صديق الطفولة لأقوى محارب,أفضل صديق طفولة في العالم,天下一品の幼なじみ,Les amis d'enfance inegalés,Amigo de infância do Zênite,Thanh Mai Trúc Mã Của Đệ Nhất Thiên Hạ,Amigo de la infancia del cenit,Shadow of the Supreme,天下第一人の幼馴染,Amigo de la Infancia del Zenit,Shadow of the Supreme ,Amigo de la infancia de Zenith,Cheonhajeirin-ui Sokkupchingu,The Childhood Friend of the Greatest Under Heaven,天下第一人的青梅竹馬,天下第一的青梅竹马",https://myanimelist.net/manga/172844,https://anilist.co/manga/180890,https://www.mangaupdates.com/series/xirzt93
JlsLVNSs,Saihate no Paladin,Reading,0,Manga,74,2026-05-26,"世界尽头的圣骑士,Far Away Paladin,Паладин издалека,最果てのパラディン,Paladyn z ziem dalekich,Paladin of the Farthest Ends,Далёкий паладин,Thánh Hiệp Sĩ Nơi Tận Cùng Thế Giới,The Faraway Paladin,Paladin Penghujung Dunia",https://myanimelist.net/manga/109339,https://anilist.co/manga/101521,https://www.mangaupdates.com/series/6gk3auk
NJcI16EN,Playing Revenge Against God,Reading,0,Manhwa,119,2026-05-31,"31번째 말은 게임판을 뒤엎는다,31 Beonjjae Mareun Geimpaneul Dwieopneunda,31-я фигура перевернёт игровую доску,The 31st Piece Turns the Tables,The 31st Piece Overturns the Board,La 31ma pieza revierte la situación,31番目の駒はゲームを支配する",https://myanimelist.net/manga/160655,https://anilist.co/manga/167109,https://www.mangaupdates.com/series/8rzvmia
qJKJZqYg,The Knight Only Lives Today,Reading,0,Manhwa,112.5,2026-06-02,"A Knight Who Eternally Regresses,Der Ritter lebt nur heute,O cavaleiro em eterna regressão,Caballero en eterna regresión,อัศวินวันเดียว,死に戻り騎士は今日も生きる,只活今天的轮回骑士,今日騎士,Powracający Rycerz,오늘만 사는 기사,Eternally Regressing Knight,Le chevalier qui ne vit qu'aujourd'hui,Oneulman Saneun Gisa",https://myanimelist.net/manga/170427,https://anilist.co/manga/177706,https://www.mangaupdates.com/series/gcls85m
Ir9_Y_Mj,Myeolmanghan Gamun ui Hoegwija,Reading,0,Manhwa,137,2026-06-08,"Регрессор падшего дома,滅亡した家門の回帰者,A Flame Reborn,멸망한 가문의 회귀자,Returner of a Ruined Family,Le régresseur de la famille déchue,Regressor of the Fallen Family,復仇者羅根,灭门家族的重生者,Regresor de la familia caída,El regreso de la familia caída",https://myanimelist.net/manga/169830,https://anilist.co/manga/173233,https://www.mangaupdates.com/series/e401aci
Wz9Q5V2M,One Punch-Man (Official),Reading,0,Manga,140,2025-10-25,"رجل لكمة الواحدة,One Punch Man,One-Punch Man,Onepunch Man,Onepunch-Man,วันพันช์แมน (NED),One-Punch Man: Tek Yumruk,OPM,Wanpanman,Ванпанчмен,مرد تک مشتی,वान्-पन्च् म्यान्,ワンパンマン,一拳超人,원펀맨,One Punch Man (Official),One-Punch Man (Official),Onepunch Man (Official),Onepunch-Man (Official),One Punch-Man",https://myanimelist.net/manga/44347,https://anilist.co/manga/74347,https://www.mangaupdates.com/series/e1096mh
EPl3QHL_,Revenge of the Baskerville Bloodhound,Reading,0,Manhwa,166,2026-06-09,"Regression of the Ironblade Hound,Return of the Iron-Blooded Hound,Return of the Iron-Blooded Sword Hound,The Return of the Iron-Blood Sword Hound,Revenge of the Sword Clan's Hound,철혈검가 사냥개의 회귀,Demir kanlı kılıç tazısının i̇ntikamı,回帰した鉄血の猟犬,铁血剑家猎犬的回归,عودة الكلب ذي الدم الحديدي,A vingança do cão de caça de sangue de ferro Baskerville,La revanche du limier des Baskerville,O retorno do cão de caça dos Baskerville,El perro de metal,La venganza del sabueso de la espada sangrienta,การกลับมาของหมาล่าเนื้อตระกูลดาบเลือดเหล็ก,বাস্কেরভিলের শিকারীর প্রতিশোধ,Thiết Huyết Kiếm Sĩ Hồi Quy,鐵血家族獵犬的重生,Ang Paghihiganti ni VikVik,Ang pagpanimalos sa Irong-buang,Demir Kanlı Kılıç Tazısının İntikamı,Die Rückkehr des Jagdhundes aus Eisen und Blut,Kuduz Hançerin İntikamı,Revenge of the Iron-Blooded Sword Hound,Cheolhyeolgeomga Sanyanggaeui Hoegwi,La venganza del sabueso de sangre de hierro",https://myanimelist.net/manga/157888,https://anilist.co/manga/163824,https://www.mangaupdates.com/series/5v7h9gf
SpAjVzwX,Please Stop the Pope!,Reading,0,Manhwa,46,2025-07-17,"우리 교황님 좀 말려주세요,うちの教皇様を止めてください！,Uri Gyohwangnim Jom Mallijuseyo,Somebody Stop the Pope!,Uchi no Kyoukou-sama wo Tomete Kudasai!",,https://anilist.co/manga/187413,https://www.mangaupdates.com/series/wsyqce0
_uR7OZNF,Honzuki no Gekokujou: Shisho ni Naru tame ni wa Shudan o Erandeiraremasen—Dai-3 Bu: Ryouchi ni Hon o Hirogeyou!,Reading,0,Manga,50,2026-05-16,"La Petite Faiseuse de Livres,Ascendance of a Bookworm: I’ll do anything to become a librarian!—Part 3: Let’s spread books through the duchy!,Honzuki no Gekokujou: Shisho ni Naru tame ni wa Shudan o Erandeiraremasen—Daisan Bu: Ryouchi ni Hon o Hirogeyou!,Honzuki no Gekokujou: Part 3,Ascendance of a Bookworm: Part 3,本好きの下剋上　～司書になるためには手段を選んでいられません～　第三部　「領地に本を広げよう！」,本好きの下剋上　第三部,El Ratón de Biblioteca: Parte 3,책벌레의 하극상 3부,Honzuki no Gekokujou Part 3,Ascendance of a Bookworm ~I'll do anything to become a librarian!~, Part 3: Let's spread books through the duchy!,Ascendance of a Bookworm: I'll do anything to become a librarian!—Part 3: Let's spread books through the duchy!,爱书的下克上　第三部,책벌레의 하극상 3부,Honzuki no Gekokujou Part 3",https://myanimelist.net/manga/122851,https://anilist.co/manga/110805,https://www.mangaupdates.com/series/51o3gg8
Hv3WjuSR,Level Up with the Gods,Reading,0,Manhwa,151,2026-04-02,"Поднятие уровня с богами,Singwa Hamkke Level Up,เลเวลอัปไปกับเทพเจ้า,神と共にレベルアップ,与神一同升级,Leveling With the Gods,신과 함께 레벨업,Level Up With the Gods,Nivelando con los Dioses,Підняття рівня з богами,Leveling Up With the Gods,Subindo De Nível Com Os Deuses,Subiendo de nivel junto a los Dioses,Level UP mit den Göttern,Upando com os deuses,與神共進,POZIOMKOWANIE Z BOŻKAMI",https://myanimelist.net/manga/148009,https://anilist.co/manga/138222,https://www.mangaupdates.com/series/his7tyi
n7HLmVKE,Goshujin-sama to Yuku Isekai Survival!,Reading,0,Manga,60,2026-06-12,"跟主人一起在异世界生存!,Захватить другой мир с силой ремесленных игр!,Захватить другой мир с силой майнкрафта!,跟主人一起在異世界生存！,Виживання в іншому світі з моєю повелителькою!,Different World Survival to Go with the Master!,Survival in Another World with My Mistress!,Isekai Minecraft,ご主人様とゆく異世界サバイバル！ THE COMIC",https://myanimelist.net/manga/129229,https://anilist.co/manga/123747,https://www.mangaupdates.com/series/8gekakh
pRO79Lcy,The Knight King Who Returned with a God,Reading,0,Manhwa,168,2026-06-12,"신과함께 돌아온 기사왕님,El Rey Caballero que regresó con un Dios,與神同歸的騎士王,与神同归的骑士王,O Rei dos Cavaleiros que retorna com um Deus",https://myanimelist.net/manga/159140,https://anilist.co/manga/165287,https://www.mangaupdates.com/series/sdog92t
oQNgIjis,Yamae Healer-ro Saneun Beop,Reading,0,Manhwa,146,2026-04-25,"야매 힐러로 사는 법,Life of a Quack Healer,How to Live as a Fake Healer,ฮีลเลอร์กำมะลอ,伪治疗师的生存法则,How to Live as a Yama Healer,How to Live as a Bootleg Healer,How to Live as an Illegal Healer,Illegal Healer,偽治癒師的生存之道,El ilegal,Как выжить нелегальному целителю,How to Live as an Unlicensed Healer,偽ヒーラーとして生きる方法,Cómo vivir como un sanador sin licencia",https://myanimelist.net/manga/158998,https://anilist.co/manga/168499,https://www.mangaupdates.com/series/xdb6oko
7M7SxZep,The Bastard of Swordborne,Reading,0,Manhwa,85,2026-03-03,"Regressing as the Bastard of the Sword Clan,Ублюдская жизнь вернувшегося мечника,Como vive un bastardo en su regresión,La regresión del bastardo reencarnado del Clan de la Espada, The Life of a Regressed Sword master’s Illegitimate Son,Regresando como el bastardo reencarnado del Clan de la Espada,How to Survive as the Bastard of the Regression Sword Clan,Regressing as the Reincarnated Bastard of the Sword Clan,The Bastard of Swordborne,Hoegwigeomgaui Seojaga Saneun Beop,회귀검가의 서자가 사는 법,กลับชาติใช้ชีวิตใหม่ของลูกนอกสมรสแห่งตระกูลดาบ,ラグナール～回帰の剣士～",https://myanimelist.net/manga/175209,https://anilist.co/manga/183855,https://www.mangaupdates.com/series/f40yr56
YFGuryrn,Eleceed,Reading,0,Manhwa,405,2026-06-10,"Элисед,エレキシード,觉醒吧，铲屎官！,일렉시드,Eleceed: Velocidad eléctrica,السید,Ілексід,بذور الكهرباء,تجاوز الكهرباء,覺醒吧！貓奴,Electricidad veloz,Եղբայր",https://myanimelist.net/manga/147171,https://anilist.co/manga/106929,https://www.mangaupdates.com/series/4mnd0g3
Fx7CgrRJ,Arcane Sniper,Reading,0,Manhwa,220,2026-04-21,"Mystic Musketeer,สไนเปอร์กระสุนเวท,Der Freischütz,魔彈-射手,魔弾の銃士,마탄의 사수,Магический стрелок,Matan's shooter,El Francotirador de Nivel Arcano,საიდუმლო სნაიპერი,მისტიური მუშკეტერი,The Freeshooter,Atirador Arcano,Der Freischütz (LEE Subaek),Le Mousquetaire virtuel,The Marksman,魔弹射手",https://myanimelist.net/manga/148108,https://anilist.co/manga/129918,https://www.mangaupdates.com/series/d9kgu2a
j1fxobBp,The Shepherd Wizard,Reading,0,Manhwa,23,2026-06-11,"양치기 마법사,Đại Ma Pháp Sư Chăn Cừu,The Shepherd Wizard,Game sok Barbarian euro Saranamgi",https://myanimelist.net/manga/191370,https://anilist.co/manga/208208,https://www.mangaupdates.com/series/c3zfmhy
wsOaktjN,Paranoid Mage,Reading,0,,106,2026-06-11,,,,https://www.mangaupdates.com/series/03gsaa0
e8mnlj7v,Absolute Sword Sense,Reading,0,Manhwa,186,2026-06-10,"절대검감,Perfect Sword Sense,絶對 劍感,Le Sens de l'épée,Sentido Absoluto de la Espada,Tuyệt Đối Kiếm Cảm,Jeoldaegeomgam,เซียนสัมผัสดาบ,El espadachín absoluto,绝对剑感,Jeoldae Geomgam",https://myanimelist.net/manga/149880,https://anilist.co/manga/151460,https://www.mangaupdates.com/series/6lafgnt
F3tkMKme,Jeongsaengja (2022),Reading,0,Manhwa,173,2026-05-21,"전생자 (2022),Past Life Regressor (2022),Réincarné d'une vie antérieure (2022),Retornador De Vidas Pasadas,Reincarnator (2022),転生の太陽,转生者,Past Life Returner",https://myanimelist.net/manga/154963,https://anilist.co/manga/160001,https://www.mangaupdates.com/series/kcb72np
zg1Ml17F,A Hero Who Knows His Stuff,Reading,0,Manhwa,29,2026-06-11,"World-Saving Is a Skill,The Return of the World Savior,The One Who Saved a World Before Will Be Best at Saving Another,세상도 구해본 놈이 잘 구한다",https://myanimelist.net/manga/189823,https://anilist.co/manga/204743,https://www.mangaupdates.com/series/fqi844p
bSOeDAas,Reborn as the Enemy Prince,Reading,0,Manhwa,101,2026-03-05,"적국의 왕자로 사는 법,How to Live as the Enemy Prince,Living as the Enemy Prince,How to live as a prince of an enemy kingdom,敵国の最弱王子に転生した,Cómo vivir como el príncipe enemigo,敌国王子的生存法则,敵國王子的生存法則,Como vivir como el príncipe enemigo,Mi renacer como un príncipe enemigo,Wiedergeboren als Prinz im Feindesland",https://myanimelist.net/manga/184871,https://anilist.co/manga/169135,https://www.mangaupdates.com/series/m3eyfwm
p4ITS4w2,SSS-geup Jugeoya Saneun Hunter,Reading,0,Manhwa,151,2025-11-24,"SSS급 자살헌터,SSS級死而復生的獵人,死して生きるSSS級ハンター,SSS급 죽어야 사는 헌터,นักล่าพลีชีพ ระดับ SSS,Thợ Săn Tự Sát Cấp SSS,VANATORUL DE REINVIERE CLASA SSS,VANATORUL DE SINUCIDERE SSS,SSS-Class Revival Hunter,SSS-Class Suicide Hunter",https://myanimelist.net/manga/146909,https://anilist.co/manga/128067,https://www.mangaupdates.com/series/7v63sfr
m2TYMdz7,"Yī Bǎ Shāzhūdāo, Kǎnfān Wànjiè Hěn Hélǐ ba?",Reading,0,Manhua,47,2026-06-09,"一把杀猪刀，砍翻万界很合理吧？,Faca matadora de porcos,A Pig-Slaughtering Knife Cutting Through All Realms — Makes Sense, Right?,The Butcher Blade That Pierces All Realms,It’s Reasonable to Use a Butcher Knife to Chop Down Everything in the World, Right?,Dünyadaki her şeyi doğramak için kasap bıçağı kullanmak mantıklı, değil mi?,Pig Slayer,A Pig-Slaughtering Knife Cutting Through All Realms - Makes Sense, Right?",,,
s1dQGdxf,I Became the Genius Bastard of a Noble Dark Clan,Reading,0,Manhwa,55,2026-05-31,"암흑명가 천재 망나니가 되었다,Eu me tornei o gênio bastardo de um nobre clã das trevas,Me convertí en el genio bastardo de un noble clan oscuro,The Unorthodox Genius of the House of Darkness",,https://anilist.co/manga/189380,https://www.mangaupdates.com/series/it34ciy
hovMW3M6,Regression of the Yong Clan Heir,Reading,0,Manhwa,55,2026-04-29,"Cheonjung Yongmun,Cheon Jung Yong Mun,天中龍門,天中龙门,천중용문,天中龍門",https://myanimelist.net/manga/177489,https://anilist.co/manga/188216,https://www.mangaupdates.com/series/v12gkni
ht0p0Dpf,Dungeon Odyssey,Reading,0,Manhwa,159.5,2026-05-23,"Dungeon Experience Book,던전 견문록,Mémoires d'un Donjon,Récits de Donjon,Donjon Odyssée,Odisseia da Masmorra,Records of Dungeon Travel,地下城見聞錄,Odisea en la Mazmorra,Odisea de Mazmorra,Записи похождений в подземелье,Наследник подземелья,Подземная одиссея,ダンジョン見聞録,Deonjeon Gyeonmunnok",https://myanimelist.net/manga/152405,https://anilist.co/manga/155485,https://www.mangaupdates.com/series/uxp6aar
6RhVx4Oa,Jebal Jom Ilgeodallago,Reading,0,Manhwa,73,2026-05-05,"Please Read It,제발 좀 읽어달라고,ไหว้ละพี่ อ่านผมทีเถอะ,Just Read Me Already!,Reincarnated as a Legendary Grimoire,I Became a Legendary Archmage by Reading a Book,Por Favor Me Leia,Me Tornei uma Arquimaga Lendária ao Ler um Livro,読んでください、お願いです!,Please Read Me",https://myanimelist.net/manga/174224,https://anilist.co/manga/184588,https://www.mangaupdates.com/series/fl7gajo
eHQyQ8Cj,The Max Level Hero Strikes Back,Reading,0,Manhwa,236,2026-06-11,"最終レベル英雄のご帰還,顶级英雄归来,만렙 영웅님께서 귀환하신다!,การกลับมาของวีรบุรุษเวลตัน,Возвращение героя максимального уровня,O Herói de Nível Máximo Retornou!,The Max Level Hero Has Returned!,Max Level Hero is Making a Comeback!,The MAX leveled hero will return!,Max Level Hero,英雄大人滿級回歸",https://myanimelist.net/manga/147322,https://anilist.co/manga/125636,https://www.mangaupdates.com/series/v7vjo3s
IS9XgW_S,Descended from Divinity,Reading,0,Manhwa,204,2026-06-11,"天魔に平凡な人生はない,천마는 평범하게 살 수 없다,The Reincarnation of the Dark Master,Реинкарнация тёмного магистра,The Heavenly Demon Can't Live a Normal Life,Cheonmaneun Pyeongbeomhage Sal Su Eopda,天魔的不凡重生,Тэнгэрлэг Чөтгөр Энгийнээр Амьдарч Чадахгүй,O Demônio Celestial não pode viver uma Vida Normal,Небесний демон не може жити нормальним життям,El demonio celestial no puede llevar una vida normal,มารสวรรค์จะมีชีวิตธรรมดาไม่ได้หรอก!",https://myanimelist.net/manga/147847,https://anilist.co/manga/136204,https://www.mangaupdates.com/series/gjguta9
jGKyV0vU,The Civil Servant of the Sword Returns,Reading,0,Manhwa,94,2026-06-12,"A Regressão do Promotor Mestre da Espada,Return of the High-Ranking Civil Servant,La regresión del funcionario de gobierno más fuerte,Regression of the Prosecutorial Official,검신급 공무원의 회귀,Return of the Sword God-Rank Civil Servant,剑神级的公务员回归,剣聖公務員の返り咲き,劍神公務員歸來",https://myanimelist.net/manga/175863,https://anilist.co/manga/189667,https://www.mangaupdates.com/series/oe5hufg
Maf30oos,The Sword God From the Destroyed World,Reading,0,Manhwa,51.5,2026-03-10,"The Sword God From a Fallen World,Sword God from the Ruined World,멸망한 세계에서 온 검신,Bóg miecza z zniszczonego świata,The Sword God From a Ruined World",https://myanimelist.net/manga/182461,https://anilist.co/manga/194024,https://www.mangaupdates.com/series/n048hww
109ndW42,Death March kara Hajimaru Isekai Kyousoukyoku,Reading,0,Manga,136,2026-06-11,"デスマーチからはじまる異世界狂想曲,从死亡之旅开始的异世界狂想曲,데스마치에서 시작되는 이세계 광상곡,Марш смерти в рапсодию параллельного мирa,โศกนาฏกรรมต่างโลกเริ่มต้นจากเดธมาร์ช,Death March Kara Hajimaru Isekai Kyōsōkyoku,Death Marching to the Parallel World Rhapsody,โศกนาฏกรรมต่างโลกเริ่มต้นจากเดธมาร์ช (ฉบับการ์ตูน)(First Page Pro),Dị Giới Cuồng Tưởng Khúc,Death March Kara Hajimaru Isekai Kyōsōkyoku,โศกนาฏกรรมต่างโลกเริ่มต้นจากเดธมาร์ช (ฉบับการ์ตูน)(First Page Pro),Death March to the Parallel World Rhapsody",https://myanimelist.net/manga/83021,https://anilist.co/manga/86511,https://www.mangaupdates.com/series/0co4eak
E08Un0l6,Tyrant of the Tower Defense Game,Reading,0,Manhwa,179,2026-05-07,"디펜스 게임의 폭군이 되었다,Defense Game Pokguni Doeeotda,成为塔防游戏里的暴君,ผู้พิชิตเกมป้องกันฐาน,I Became the Tyrant of a Defense Game,Sono diventato il tiranno di un tower defense,ディフェンスゲームの暴君になった,Me convertí en el tirano de un juego de defensa,成為塔防遊戲的暴君",https://myanimelist.net/manga/153518,https://anilist.co/manga/153513,https://www.mangaupdates.com/series/i5sjf4k
u6NWlQJy,Barbarian Quest,Reading,0,Manhwa,100,2026-05-28,"바바리안 퀘스트,Варварский Квест,Missão Bárbara,Путь варвара,バーバリアンクエスト,蛮荒：我是最强野人战神",https://myanimelist.net/manga/151053,https://anilist.co/manga/148091,https://www.mangaupdates.com/series/q7ns4fo
I4n_JKGl,"Katainaka no Ossan, Kensei ni Naru ~Tada no Inaka no Kenjutsu Shihan Datta noni, Taisei Shita Deshi-tachi ga Ore wo Hottekurenai Ken~",Reading,0,Manga,40.1,2026-06-12,"Beryl : De paysan à maitre d’armes,Мужчина средних лет из глубинки становится мастером меча. «Я был просто сельским учителем фехтования, но мои преуспевшие ученицы не захотели оставить меня в покое!»,片田舎のおっさん、剣聖になる～ただの田舎の剣術師範だったのに、大成した弟子たちが俺を放ってくれない件～,鄉下的大叔成為劍聖～只不過是鄉下的劍術老師，但功成名就的弟子們不放過我的事～,乡里别大叔剑圣,Ông Chú Làng Quê Trở Thành Thánh Kiếm - Dủ Chỉ Là Một Thầy Giáo Kiếm Thuật Ở Quê Nhưng Đám Đệ Tử Vẫn Không Buông Tha,ปรมาจารย์ดาบชั้นเซียนมาตบเกรียนถึงเมืองกรุง,From Old Country Bumpkin to Master Swordsman,Sıradan Bir Köylü Hünerli Bir Kılıç Ustası Oluyor,ปรมาจารย์ดาบชั้นเซียนมาตบเกรียนถึงเมืองกรุง,片田舎のおっさん、剣聖になる ～ただの田舎の剣術師範だったのに、大成した弟子たちが俺を放ってくれない件～,촌구석 아저씨, 검성이 되다,Katainaka no Ossan, Kensei ni Naru - Tada no Inaka no Kenjutsu Shihan Datta no ni, Taisei shita Deshi-tachi ga Ore wo Hottekurenai ken,From Old Country Bumpkin to Master Swordsman: My Hotshot Disciples are All Grown Up Now, and They Won't Leave Me Alone,An Old Man From the Countryside Becomes a Swords Saint: I was Just a Rural Sword Teacher, but My Successful Students Won't Leave Me Alone!,A Back-Country Old Man Becomes a Sword Saint: How I was Just a Rural Swordsmanship Instructor and Yet My Accomplished Pupils Wouldn't Let Me Go,Katainaka no Ossan, Kensei ni Naru ~Tada no Inaka no Kenjutsu Shihan Datta noni, Taisei Shita Deshi-tachi ga Ore o Hottekurenai Ken~,Katainaka no Ossan, Kensei ni Naru - Tada no Inaka no Kenjutsu Shihan Datta no ni, Taisei shita Deshi-tachi ga Ore wo Hottekurenai ken,片田舎のおっさん、剣聖になる ～ただの田舎の剣術師範だったのに、大成した弟子たちが俺を放ってくれない件～,촌구석 아저씨, 검성이 되다,From Old Country Bumpkin to Master Swordsman,Sıradan Bir Köylü Hünerli Bir Kılıç Ustası Oluyor",https://myanimelist.net/manga/145480,https://anilist.co/manga/145675,https://www.mangaupdates.com/series/ey5alhu
IyjYbw9w,"The World Is Full of Monsters, so I Want to Live as I Wish (Official)",Reading,0,Manga,63,2026-03-31,"Mofureru,Monster World,The World Is Full of Monsters Now, Therefore I Want to Live as I Wish,Monster ga Afureru Sekai ni Natta node Suki ni Ikitai to Omoimasu,The World Is Full of Monsters, so I Want to Live How I Like,The World Is Overflowing with Monster, I'm Taking a Liking to This Life,モンスターがあふれる世界になったので、好きに生きたいと思います,在充满怪物的世界里为所欲为,The World Is Full of Monsters, so I Want to Live as I Wish",https://myanimelist.net/manga/118652,https://anilist.co/manga/107695,https://www.mangaupdates.com/series/czu8wzw
1YNPZ1xL,Absolute Regression,Reading,0,Manhwa,105,2026-06-11,"La régression parfaite,ย้อนชะตาล่าข้ามภพ,Hồi Quy Tuyệt Đối,절대회귀,La régression absolue,Jeoldae Hoegwi,花對日歸,絕對回歸,绝对回归,剣無極～時を遡りし者～",https://myanimelist.net/manga/172750,https://anilist.co/manga/180891,https://www.mangaupdates.com/series/xutrph6
nOGJVMzU,Reaper of the Drifting Moon,Reading,0,Manhwa,135,2026-04-21,"მოძრავი მთვარის მომკელი,El Asesino de la Luna a la Deriva,The Reaper,사신표월,La faucheuse de la lune errante,Жнец дрейфующей Луны,فرشته مرگ ماه سرگردان,死神漂月〜暗闇からの刺客〜,ملك الموت للقمر المنجرف,死神漂月,O Ceifador da Lua Cheia,WUNSZ,La Parca De La Muerte Lunar,Ceifador da Lua Cheia,Жнець Блукаючого Мiсяця,Tử Thần Phiêu Nguyệt,The Reaper (INKYO),Sasinpyowol,Reaper of the Drifting Moon,Death God of the Drifting Moon,Grim Reaper's Floating Moon,Sasinpyowol",https://myanimelist.net/manga/150422,https://anilist.co/manga/153432,https://www.mangaupdates.com/series/mw8jsvc
